gender,event,medal,athlete,type,year,country
Men,Double FITA Round Amputee,Gold,LARSEN Finn,Archery,1980,Denmark
Men,Double FITA Round Amputee,Silver,BRENNE Manfred,Archery,1980,Federal Republic of Germany
Men,Double FITA Round Amputee,Bronze,SATO Masao,Archery,1980,Japan
Men,Double FITA Round Paraplegic,Gold,GEISS H.,Archery,1980,Federal Republic of Germany
Men,Double FITA Round Paraplegic,Silver,GRUN Guy,Archery,1980,Belgium
Men,Double FITA Round Paraplegic,Bronze,BUCHANAN J.,Archery,1980,Great Britain
Men,Double FITA Round Tetraplegic,Gold,PARKER T.,Archery,1980,Canada
Men,Double FITA Round Tetraplegic,Silver,STEBEKK Oddbjorn,Archery,1980,Norway
Men,Double FITA Round Tetraplegic,Bronze,LAFONT G.,Archery,1980,France
Men,Double FITA Round Novice Paraplegic,Gold,CHAVEZ Alfredo,Archery,1980,Mexico
Men,Double FITA Round Novice Paraplegic,Silver,WALSTRA Jappie,Archery,1980,Netherlands
Men,Double FITA Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,Archery,1980,Netherlands
Men,Double FITA Round Novice Tetraplegic,Gold,KARKAINEN K.,Archery,1980,Finland
Men,Double FITA Round Novice Tetraplegic,Silver,KISHINO Tadashi,Archery,1980,Japan
Men,Double FITA Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,Archery,1980,Sweden
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,Archery,1980,France
Men,Short Metric Round Paraplegic,Silver,ZEISE L.,Archery,1980,United States
Men,Short Metric Round Paraplegic,Bronze,THION J.,Archery,1980,France
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,Archery,1980,Federal Republic of Germany
Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,Archery,1980,Australia
Men,Short Metric Round Tetraplegic,Bronze,KRISTIANSEN Svein,Archery,1980,Norway
Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,Archery,1980,South Korea
Men,Advanced Metric Round Paraplegic,Silver,PETSCHNIG M.,Archery,1980,Austria
Men,Advanced Metric Round Paraplegic,Bronze,LETTNER Felix,Archery,1980,Austria
Women,Double FITA Round Amputee,Gold,ROSVIK Marie,Archery,1980,Norway
Women,Double FITA Round Amputee,Silver,KWIECINSKA Ewa,Archery,1980,Poland
Women,Double FITA Round Amputee,Bronze,HYBOIS Marie-Francoise,Archery,1980,France
Women,Double FITA Round Paraplegic,Gold,FAIRHALL Neroli,Archery,1980,New Zealand
Women,Double FITA Round Paraplegic,Silver,KORVA Elli,Archery,1980,Finland
Women,Double FITA Round Paraplegic,Bronze,DERSEN Anneliese,Archery,1980,Federal Republic of Germany
Women,Double FITA Round Novice Paraplegic,Gold,OHMAE Chiyoko,Archery,1980,Japan
Women,Short Metric Round Paraplegic,Gold,SCHWEIZER Rosa,Archery,1980,Austria
Women,Short Metric Round Paraplegic,Silver,WILLIAMSON Valerie,Archery,1980,Great Britain
Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,Archery,1980,United States
Women,Advanced Metric Round Paraplegic,Silver,RIMMER Eve M.,Archery,1980,New Zealand
